time,total_gpu_num,idle_gpu_num,pending_gpu_num,running_gpujob_num,pending_gpujob_num,pending_job_num_less_8,total_node_num,consolidate_node_num,shared_node_num,sm_util,gmem_util,sm_util_active,gmem_util_active,gpu_utilization
13219200.0,64,64,0,0,0,0,8,0,0,0.0,0.0,0.0,0.0,0.0
13219260.0,64,64,0,0,0,0,8,0,0,0.0,0.0,0.0,0.0,0.0
13219320.0,64,56,0,1,0,0,8,1,0,1.761125,257.375,14.089,2059.0,0.125
13219380.0,64,56,0,1,0,0,8,1,0,1.761125,257.375,14.089,2059.0,0.125
13219440.0,64,56,0,1,0,0,8,1,0,1.761125,257.375,14.089,2059.0,0.125
13219500.0,64,56,0,1,0,0,8,1,0,1.761125,257.375,14.089,2059.0,0.125
13219560.0,64,56,0,1,0,0,8,1,0,1.761125,257.375,14.089,2059.0,0.125
13219620.0,64,52,0,2,0,0,8,2,0,3.292375,401.625,19.2945,2183.5,0.188
13219680.0,64,52,0,2,0,0,8,2,0,3.292375,401.625,19.2945,2183.5,0.188
13219740.0,64,52,0,2,0,0,8,2,0,3.292375,401.625,19.2945,2183.5,0.188
13219800.0,64,52,0,2,0,0,8,2,0,3.292375,401.625,19.2945,2183.5,0.188
13219860.0,64,52,0,2,0,0,8,2,0,3.292375,401.625,19.2945,2183.5,0.188
13219920.0,64,52,0,2,0,0,8,2,0,3.292375,401.625,19.2945,2183.5,0.188
13219980.0,64,56,0,1,0,0,8,1,0,1.761125,257.375,14.089,2059.0,0.125
13220040.0,64,56,0,1,0,0,8,1,0,1.761125,257.375,14.089,2059.0,0.125
13220100.0,64,56,0,1,0,0,8,1,0,1.761125,257.375,14.089,2059.0,0.125
13220160.0,64,56,0,1,0,0,8,1,0,1.761125,257.375,14.089,2059.0,0.125
13220220.0,64,56,0,1,0,0,8,1,0,1.761125,257.375,14.089,2059.0,0.125
13220280.0,64,56,0,1,0,0,8,1,0,1.761125,257.375,14.089,2059.0,0.125
13220340.0,64,56,0,1,0,0,8,1,0,1.761125,257.375,14.089,2059.0,0.125
13220400.0,64,56,0,1,0,0,8,1,0,1.761125,257.375,14.089,2059.0,0.125
