time,total_gpu_num,idle_gpu_num,pending_gpu_num,running_gpujob_num,pending_gpujob_num,pending_job_num_less_8,total_node_num,consolidate_node_num,shared_node_num,sm_util,gmem_util,sm_util_active,gmem_util_active,gpu_utilization
13431900.0,40,2,40,9,6,2,5,2,3,67.26197499999999,5327.7,70.8133,5561.066666666667,0.95
13431960.0,40,2,48,9,7,2,5,2,3,67.26197499999999,5327.7,70.8133,5561.066666666667,0.95
13432020.0,40,2,48,9,7,2,5,2,3,67.26197499999999,5327.7,70.8133,5561.066666666667,0.95
13432080.0,40,2,48,9,7,2,5,2,3,67.26197499999999,5327.7,70.8133,5561.066666666667,0.95
13432140.0,40,2,48,9,7,2,5,2,3,67.26197499999999,5327.7,70.8133,5561.066666666667,0.95
13432200.0,40,2,48,9,7,2,5,2,3,67.26197499999999,5327.7,70.8133,5561.066666666667,0.95
13432260.0,40,2,56,9,9,4,5,2,3,67.26197499999999,5327.7,70.8133,5561.066666666667,0.95
13432320.0,40,2,56,9,9,4,5,2,3,67.26197499999999,5327.7,70.8133,5561.066666666667,0.95
13432380.0,40,2,56,9,9,4,5,2,3,67.26197499999999,5327.7,70.8133,5561.066666666667,0.95
13432440.0,40,2,56,9,9,4,5,2,3,67.26197499999999,5327.7,70.8133,5561.066666666667,0.95
13432500.0,40,2,56,9,9,4,5,2,3,67.26197499999999,5327.7,70.8133,5561.066666666667,0.95
13432560.0,40,2,56,9,9,4,5,2,3,67.26197499999999,5327.7,70.8133,5561.066666666667,0.95
13432620.0,40,2,56,9,9,4,5,2,3,67.26197499999999,5327.7,70.8133,5561.066666666667,0.95
13432680.0,40,0,56,10,9,4,5,2,3,70.047675,5477.3,70.047675,5477.3,1.0
13432740.0,40,0,53,10,9,4,5,2,3,69.390975,5513.5,69.390975,5513.5,1.0
13432800.0,40,0,53,10,9,4,5,2,3,69.390975,5513.5,69.390975,5513.5,1.0
13432860.0,40,0,53,10,9,4,5,2,3,69.390975,5513.5,69.390975,5513.5,1.0
13432920.0,40,0,53,10,9,4,5,2,3,69.390975,5513.5,69.390975,5513.5,1.0
13432980.0,40,0,53,10,9,4,5,2,3,69.390975,5513.5,69.390975,5513.5,1.0
13433040.0,40,0,53,10,9,4,5,2,3,69.390975,5513.5,69.390975,5513.5,1.0
